Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
Solar Industries India Ltd.,"11,537.75",+0.07,"1,04,405","13,298.00/4,780.05","23,753"
Colgate-Palmolive (India) Ltd.,"3,820.15",+0.41,"1,03,903","3,890.00/1,969.15","4,73,188"
Indus Towers Ltd.,384.05,-2.17,"1,03,499",460.35/166.70,"70,39,394"
Mankind Pharma Ltd.,"2,578.95",+2.31,"1,03,324","2,780.00/1,683.05","4,42,323"
Apollo Hospitals Enterprise Ltd.,"7,153.35",-0.64,"1,02,854","7,316.95/4,726.00","3,10,719"
Canara Bank,110.49,-0.75,"1,00,222",128.90/68.42,"1,76,36,415"
Lupin Ltd.,"2,194.40",+0.15,"1,00,096","2,312.00/1,123.00","7,86,650"
Oracle Financial Services Software Ltd.,"11,442.65",-0.14,"99,258","12,619.00/3,868.80","54,125"
GMR Airports Infrastructure Ltd.,93.93,-0.14,"99,180",103.75/52.00,"64,27,524"
Bharat Heavy Electricals Ltd.,280.45,+0.27,"97,654",335.35/113.50,"1,34,49,947"
Indian Hotels Company Ltd.,681.70,-0.44,"97,035",720.45/371.60,"23,26,716"
Shree Cements Ltd.,"26,523.25",+0.81,"95,698","30,737.75/23,700.00","27,911"
NHPC Ltd.,95.05,+0.11,"95,478",118.40/48.40,"1,46,15,288"
Hindustan Petroleum Corporation Ltd.,444.90,+0.99,"94,667",457.15/159.47,"55,25,180"
IDBI Bank Ltd.,87.78,+0.68,"94,385",107.90/59.50,"31,09,596"
Max Healthcare Institute Ltd.,970.20,-1.58,"94,316","1,118.00/538.65","13,31,140"
HDFC Asset Management Company Ltd.,"4,365.00",+1.53,"93,244","4,546.20/2,618.00","3,35,988"
Union Bank Of India,121.86,-0.74,"93,023",172.50/91.25,"48,01,876"
Oil India Ltd.,568.75,-2.05,"92,513",767.90/192.94,"19,59,496"
Godrej Properties Ltd.,"3,252.45",+2.89,"90,438","3,402.70/1,532.85","5,73,089"
Marico Ltd.,693.65,-0.25,"89,810",713.50/486.30,"18,56,288"
Torrent Power Ltd.,"1,861.70",-0.87,"89,476","1,969.90/691.95","4,79,862"
Adani Total Gas Ltd.,786.45,-0.01,"86,495","1,259.40/522.00","4,22,972"
Dixon Technologies (India) Ltd.,"14,195.80",+2.85,"84,943","14,498.00/5,028.00","4,04,313"
Persistent Systems Ltd.,"5,487.75",+0.69,"84,758","5,585.95/2,788.40","1,48,956"
Mazagon Dock Shipbuilders Ltd.,"4,199.25",-0.73,"84,695","5,860.00/1,742.00","4,53,507"
Aurobindo Pharma Ltd.,"1,438.30",-1.53,"84,276","1,592.00/834.65","26,03,178"
Tube Investments Of India Ltd.,"4,340.60",+0.10,"83,956","4,681.70/2,879.25","2,34,612"
PB Fintech Ltd.,"1,730.45",+6.82,"78,928","1,966.50/661.30","47,76,243"
Muthoot Finance Ltd.,"1,955.90",-3.74,"78,522","2,078.75/1,182.35","14,81,783"
Prestige Estates Projects Ltd.,"1,817.65",-1.50,"78,292","2,074.80/592.10","8,14,457"
Kalyan Jewellers India Ltd.,750.15,+2.73,"77,358",786.25/221.65,"90,72,279"
Indian Railway Catering & Tourism Corporation Ltd.,931.15,+0.28,"74,492","1,138.90/635.55","8,79,838"
SRF Ltd.,"2,481.35",-0.66,"73,553","2,693.95/2,082.25","7,24,115"
Alkem Laboratories Ltd.,"6,151.25",+1.63,"73,547","6,439.90/3,447.00","1,10,426"
SBI Cards And Payment Services Ltd.,770.20,-0.45,"73,267",817.40/647.95,"16,53,309"
JSW Infrastructure Ltd.,345.45,+0.10,"72,545",360.95/142.20,"23,47,413"
Berger Paints (India) Ltd.,619.65,-0.43,"72,233",629.50/439.00,"10,98,938"
PI Industries Ltd.,"4,731.35",+1.62,"71,783","4,804.05/3,220.00","1,00,017"
Linde India Ltd.,"8,406.15",-0.93,"71,691","9,935.05/5,325.00","35,522"
NMDC Ltd.,244.53,-0.16,"71,662",286.35/140.65,"1,63,10,833"
Bharat Forge Ltd.,"1,530.20",+0.90,"71,244","1,804.50/1,002.30","4,72,946"
Indian Bank,527.10,+0.58,"70,998",632.70/390.90,"4,48,248"
Vodafone Idea Ltd.,10.17,-1.83,"70,885",19.18/9.79,"37,27,35,715"
YES Bank Ltd.,22.42,-0.27,"70,280",32.85/15.70,"6,13,76,374"
Ashok Leyland Ltd.,238.13,+1.16,"69,925",264.65/157.55,"1,16,17,306"
Bharti Hexacom Ltd.,"1,397.60",-3.18,"69,880","1,568.00/570.00","3,93,493"
General Insurance Corporation Of India,394.70,-0.23,"69,246",467.80/212.15,"6,38,463"
Oberoi Realty Ltd.,"1,887.85",-0.23,"68,643","1,970.00/1,051.10","5,49,915"
Supreme Industries Ltd.,"5,398.15",+1.44,"68,571","6,460.00/3,601.00","87,884"
Jindal Stainless Ltd.,767.40,-2.92,"63,190",848.00/427.15,"11,40,106"
Aditya Birla Capital Ltd.,242.03,+1.92,"63,051",246.90/155.00,"75,99,283"
The Fertilisers And Chemicals Travancore Ltd.,973.00,+0.94,"62,960","1,187.00/506.00","6,25,152"
Phoenix Mills Ltd.,"1,753.15",-5.01,"62,673","2,068.50/864.02","8,76,644"
UNO Minda Ltd.,"1,082.45",-1.74,"62,150","1,255.00/548.60","12,98,580"
Indian Renewable Energy Development Agency Ltd.,230.91,-1.69,"62,063",310.00/32.00,"65,35,085"
Abbott India Ltd.,"29,016.15",-0.51,"61,657","30,521.00/22,000.00","5,340"
Patanjali Foods Ltd.,"1,700.05",+0.99,"61,541","1,992.20/1,169.95","3,00,900"
Tata Communications Ltd.,"2,158.75",+1.12,"61,524","2,175.00/1,543.40","8,26,483"
Schaeffler India Ltd.,"3,930.90",+0.44,"61,441","4,951.00/2,612.20","1,07,955"
Voltas Ltd.,"1,854.55",+0.51,"61,364","1,944.90/806.70","9,63,764"
Thermax Ltd.,"5,098.80",-0.03,"60,755","5,839.95/2,500.25","33,435"
Hitachi Energy India Ltd.,"14,278.90",-1.83,"60,516","14,849.95/3,895.90","41,973"
MRF Ltd.,"1,40,262.90",+1.26,"59,488","1,51,445.00/1,06,405.00","3,931"
Balkrishna Industries Ltd.,"3,062.10",+0.39,"59,196","3,375.00/2,193.80","3,87,160"
Sundaram Finance Ltd.,"5,250.85",-0.39,"58,339","5,535.85/2,942.70","69,577"
Steel Authority Of India (SAIL) Ltd.,141.03,-0.23,"58,253",175.35/81.80,"2,45,28,692"
UCO Bank,48.08,-0.33,"57,484",70.65/34.75,"22,94,537"
United Breweries Ltd.,"2,163.35",-0.56,"57,200","2,204.90/1,539.80","1,38,743"
MphasiS Ltd.,"3,015.60",+0.17,"56,943","3,187.80/2,069.10","8,99,959"
L&T Technology Services Ltd.,"5,345.65",+0.03,"56,577","6,000.00/4,111.00","72,956"
FSN E-Commerce Ventures Ltd.,197.34,+0.88,"56,399",229.80/136.50,"34,39,875"
