Name,LTP,Change %,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI
Adani Power,637.05,0.29%,"24,29,849","₹ 2,45,108.47",15.34,33.43,895.85,289.35,-7.87%,-17.23%,59.90%,533.57%,899.29%,7.49,0.01,34.46,34.46,41.44,690.25,611.07,36.06
Nestle,"2,535.50",0.75%,"15,22,039","₹ 2,42,615.69",74.94,46.57,"2,769.30","2,187.34",2.52%,-0.50%,14.59%,23.97%,98.72%,72.62,1.28,21.10,21.10,33.58,"2,532.21","2,522.53",50.18
Siemens,"6,582.90",0.38%,"2,30,709","₹ 2,33,709.27",95.12,77.80,"7,968.70","3,246.00",-4.88%,-3.99%,66.46%,198.06%,437.49%,16.79,0.15,37.93,37.93,68.99,"7,104.81","5,666.38",30.88
Zomato,267.70,1.71%,"6,86,58,961","₹ 2,32,520.75",387.06,35.53,280.90,96.50,1.62%,46.96%,164.13%,87.01%,112.46%,11.39,-,134.46,134.46,0.68,239.67,180.40,61.06
JSW Steel,938.75,0.48%,"13,88,455","₹ 2,28,393.17",32.80,32.14,968.90,723.00,2.33%,2.49%,13.89%,35.19%,312.27%,2.94,0.78,82.18,82.18,28.47,921.07,867.62,53.08
IRFC,169.75,0.84%,"1,50,88,916","₹ 2,20,073.64",34.16,42.22,229.00,65.75,-8.02%,-1.88%,100.29%,639.65%,584.48%,4.33,0.89,-5.54,-5.54,4.93,186.35,152.05,30.60
Jio Financial Services,351.50,2.87%,"6,09,20,830","₹ 2,16,742.30",136.46,32.54,394.70,204.25,6.79%,0.33%,40.52%,41.22%,41.22%,1.56,-,-17.99,-17.99,2.50,335.64,314.83,55.70
Bharat Electronics,285.75,1.49%,"1,99,82,334","₹ 2,05,806.81",48.54,70.90,340.50,127.00,-5.19%,0.83%,97.48%,336.26%,694.19%,12.61,0.78,13.88,13.88,5.80,306.82,237.24,32.87
DLF,829.80,0.37%,"21,72,160","₹ 2,04,609.27",71.88,37.94,967.60,512.55,-0.68%,-2.10%,53.43%,144.31%,417.33%,5.19,0.60,41.56,41.56,11.50,839.35,820.10,44.94
Hindustan Zinc,486.90,1.42%,"15,18,727","₹ 2,02,836.44",24.92,21.14,807.70,284.60,-20.73%,-27.29%,52.18%,45.17%,126.89%,13.35,2.71,-37.18,-37.18,19.26,589.79,454.07,30.86
Varun Beverages,"1,520.00",-0.38%,"23,43,604","₹ 1,98,276.34",81.82,42.36,"1,702.80",828.15,3.17%,-1.68%,65.29%,391.00%,"1,049.95%",23.12,0.16,-0.18,-0.18,18.65,"1,555.21","1,417.19",49.60
SBI Life Insurance,"1,853.45",-2.54%,"25,15,665","₹ 1,90,605.31",93.77,32.54,"1,936.00","1,264.35",8.71%,29.40%,37.28%,59.07%,131.78%,12.24,0.14,-3.89,-3.89,20.29,"1,708.64","1,516.78",70.82
Tata Steel,149.42,-0.03%,"4,16,07,844","₹ 1,86,503.91",93.38,32.14,184.10,114.60,-1.74%,-17.12%,13.93%,2.10%,307.14%,2.06,2.41,-169.18,-169.18,1.60,158.93,153.16,37.33
Interglobe Aviation,"4,831.85",0.49%,"6,36,042","₹ 1,85,523.19",23.75,21.14,"4,943.80","2,333.35",13.65%,5.81%,93.21%,154.62%,190.37%,92.91,-,"8,262.10","8,262.10",202.26,"4,446.36","3,693.01",65.57
Grasim Industries,"2,702.55",-0.29%,"4,31,289","₹ 1,82,378.27",31.72,14.68,"2,877.75","1,820.81",5.11%,10.45%,45.69%,68.91%,281.35%,2.01,0.37,-20.74,-20.74,85.43,"2,718.31","2,349.38",52.40
LTI Mindtree,"6,343.35",3.20%,"9,29,755","₹ 1,82,090.19",39.89,39.73,"6,442.00","4,513.55",17.46%,29.37%,15.15%,15.57%,287.17%,9.12,1.06,-13.84,-13.84,154.11,"5,679.06","5,388.11",69.02
Vedanta,440.00,-4.40%,"1,31,92,375","₹ 1,79,995.16",33.00,21.14,506.75,208.00,1.83%,-0.92%,84.64%,42.60%,200.75%,4.59,6.41,-38.95,-38.95,13.95,449.38,355.95,54.51
